Cleaned_Text,Labels,PCA1,PCA2
probably longest putt holed today kind across green water,2,7.1946354,3.636229
one want best dont think want better sister one want best,5,6.7756915,0.43963915
absolutely id like see michelle although didnt want win sunday wanted win turned neither u obviously karrie,5,8.782175,3.1991096
michigan state physical team dominated u three aspect game thought really well coached team physical throughout four quart,4,9.924846,1.8097142
well feel like two year ago next year feel like coming next season thats going goal backtoback game season,6,6.9994016,2.5060167
agree everything said couldnt asked better senior year im thankful everyone tearing texas volleyball really bright future im excited watch,5,7.7347245,1.5578418
yeah absolutely got couple fix mechanic want work offseason,2,9.824757,3.0197458
many people would someone start mention hey say listen could careless,7,7.863041,2.190503
yeah line great u whenever theyre together robby came brought speed leg looked pretty good,2,9.4535885,2.3085945
particularly think surface probably suit little suit probably comfortable grass,2,6.653149,2.9222589
obviously proud followed fernando valenzuela obviously something historic something im obviously happy happy followed done ive done today,5,7.612941,3.6597486
dont know remarkable think testament people endure persevere,5,8.179056,1.9349394
well youre right good spot playing well like play fast comfortable playing spot get go know,2,6.691884,3.041188
enjoy honestly stuff gotta go got lot advice friend mine kevin cash he one something gotta go,5,5.640662,2.2515225
well dont know thats true think preparation opportunity two thing combine good thing happen,5,8.504226,1.5999819
definitely feel certain level disconnection youre much feel like youre bubble kind secluded separated outside world,7,6.3989024,2.5913029
best win ever big player beaten another top player,2,8.495711,0.5564809
tell tomorrow nothing knew mean playing single double mixed double tournament different tournament,7,6.9920683,1.5599483
ask tiger question lead thought round today could go round card dont mind,2,5.9230514,3.1532025
know aggressive taking shot took last game confidence teammate confidence score ball,2,8.143181,2.511091
serve difficult side judge serve felt,2,6.642102,1.8406993
one thing add humidors dont really address issue drag humidors affect coefficient restitution sort topic drag isnt likely impacted,7,7.2576923,3.9982188
think everybody see athletic dont give lot big play make good play,2,6.392757,0.30157748
going let european deadline want go back english,7,7.48298,0.5632423
dont think he good defender mean one scored goal job guess played position well,2,7.7384653,2.252358
pretty clearuucut hung left drove guy line called twice car race nothing different,8,5.9475822,4.4764266
well obviously different experience something ill definitely remember something ill look back fond memory,5,7.453678,4.229357
melanie thank much want echo well dad truly amazing inspiring mike definitely want thank effort obviously whole family thank,5,9.486394,3.1344705
incredible look matt moore grit saw shooting lane took matt moore incredible job eye see player he become incredible,2,9.285675,3.5288196
obviously played lot worldclass team tournament performance would probably one remember player giving motivation also fan back home well,4,8.296859,0.6531208
positioned pretty well hit ball hard trea hit couple ball hard today actually three ball hard weve got keep battling,2,4.741618,3.5061932
feel pretty good always good win grand slam title even mixed think special many chance win good take,4,8.628788,2.7072892
mom someone talk lot obviously helped morning coffee gave word encouragement,7,6.8594875,2.2446182
he vital run point there question without playing high level,2,4.9388366,1.7452196
good afternoon everyone couple topic would like cover obviously take question may answer,1,9.715478,3.6215186
happy time surprised surprised,7,7.658107,3.9377134
he going come swinging he got really nice backhand he playing well week hope put pressure serve like today well see happens,6,6.4247575,1.6757687
still working thing like first two hole keep thinking outcome dont good commitment,2,6.585585,2.729816
thought said tried get pitch hit made good pitch fastball handled,2,7.986577,4.960741
good settler felt like started fine little bit steady yesterday roll birdie good gain momentum rest day,4,5.6964054,2.1616516
im thing im gassing feel like im putting battery back there lot time tell dont pas,5,8.434577,4.4708724
think thats individual thing player pick management anyone go give advice end day player go execute,5,8.572184,0.5940053
let add lloyd say idea could interpret mean nobody world idea lloyd doesnt know nobody know laughter,7,7.9938846,4.273508
obviously always shut short maybe give something different coach conry like nope sticking,5,7.5684133,4.4240375
feel like would nice know serving little bit better miss easy shot breakpoints game point whatever,4,5.4358754,2.0763657
win match beat good player get confidence know beat good player happened lot,4,8.531517,0.8704834
want talking hopefully aj get hell get back talking game series,8,7.700157,0.29962006
honest probably helped distract majority week able talk something else caught point situation,8,6.66449,2.24491
yeah long year worth end obviously little bonus scoring goal last night,4,7.6730986,2.8690274
yeah really broke u got confident started psych going shot,2,5.6684012,3.0987759
felt something went block ball hip flexor dont know severity yet well know tomorrow right hip flexor,3,4.8424296,3.2757785
orlando hernandez leo astacio given thought everyone team luis gonzalez he member team thought,7,10.088307,1.6364657
yeah well knew today playing morning especially early going much difficult yesterday shown score yesterday morning,4,7.0448155,2.241849
first rest see tournament playing australia,6,6.9908047,1.60433
yeah obviously opportunity help im getting seizing opportunity knowing need make play order u successful,1,9.148183,0.510893
know thats great question think biggest thing studying game realizing strength team trying take away game,1,9.056503,2.7747846
smart player share knowledge player he going manage carlos always well respected well received know well,7,8.457926,0.48556346
ive never managed find comfort zone golf course amazes think thats tribute great design,8,6.3624306,3.9045713
congratulation wesleyan coach raba tremendous game battle minute got best u today battled till end im proud seagull,4,8.477173,4.00732
side midnight memory memory something like two book sidney sheldon finish dont read buy new one,7,6.601383,4.297334
hi everybody im jon sciambi pleasure welcome year announcement th annual winter meeting charity auction thanks appreciate,7,7.761881,4.142678
andy fully recovered started maybe light hitting he regular schedule hell without sort setback area hell percent full go spring training,3,7.9194613,-0.29625893
lot different last day played junior big player,7,8.5286455,0.60127634
yeah agree said think really great way u go go group people happen best friend,4,8.128992,1.724284
cannot think right actually dream play one good grand slam retire maybe coming true,2,9.207093,1.797076
really something thats work little bit ive sort changed around strategy going guess cricket,1,7.0391955,4.024082
feel great right beautiful day play golf braved last two hole kind get back game,4,6.564706,3.533372
try watch competitor anyway try watch much anyway,1,7.0077095,0.6054907
probably actually make size know waist clothes im make feel little bigger,7,5.9910464,0.64816195
field crew university arizona best bud johnny director still today mound absolutely gorgeous grass wasnt one flaw definitely university arizona,7,8.633643,2.3303216
first congratulation minnesota great season theyre great team saw early definitely presented unique challenge,4,9.459168,2.6648698
really worrying today knew going guess wasnt reserve day hopefully forecast change ive seen happen hopefully get two really good semifinal,6,6.9492116,3.2123244
youre obviously one leading player let moment put extra pressure coming week player america,4,7.9665904,0.70121056
yeah definitely uncharted territory im trying continue ive tried year take one day time listen body,1,8.157615,4.5028105
yeah thats coming player field player field job guard player field cant guard technology player field,8,8.699634,0.47123665
gee lisa raymond natasha zvereva press conference dont know frankly dont know dont think anything lacking playing good,2,7.9208937,2.5698817
injured friday monday san diego tournament practicing would probably say affect definitely running serve backhand,3,6.5566325,1.7629141
well right based organization make move hired hired got closer thats something talk,7,5.92284,1.7231543
yeah appreciate question think lot people spoken ive spoken addressed right away jeff spoke,8,6.6216493,3.591377
key clearly plummer shes good creates space everyone else everyone else take little breath lean everyone else get little bit different,5,5.3642125,2.2664466
excited u number player named first second team join welcoming allmlb second team designated hitter houston astros yordan alvarez u,7,9.651752,2.7193778
think miss cricket mean ill involved cant stay away somehow ill involved cricket,7,7.5224977,3.748731
know cant say practice ton talk power play sort thing defending also think something cover talk,1,6.3302813,2.056834
think definitely left yesterday well know one one thing golf course dont read green well,4,6.34438,4.095625
yeah coming kpmg extremely happy long game tee green putt really dropping week,2,7.5271196,3.8814743
aggressive laugh think played pretty well im getting fairway really hit good iron shot today,4,5.5260863,3.533856
happy home run obviously today teammate saying today day today day happened obviously happy,5,7.3539805,3.429738
think tired tired week diarrhea food good tired whole match,2,5.9314413,1.1131679
yeah big surprise really surprised especially jennifer yesterday knew tough match yesterday wasnt going easy didnt think going lose,4,7.216105,2.0483868
ranking first released ranked third think time prominent player there always discussion anyone ask whether there resistance discussion thats debate,7,8.194781,0.32597393
think affected team know think collectively lot thing affected team think affected team,4,10.261216,1.9893703
started back nine started hitting iron probably foot hole knocked birdie,1,5.3986964,3.1440225
serving match loveall hit smash wide real wide,2,5.0474296,3.68785
know thats hard question answer simply havent replaced another event answer would probably yes would played would taken approach,1,9.782744,3.5103872
tough first game back thats big game obviously didnt get whole lot time hard evaluate much,4,8.474067,2.632312
sure im appreciative official allowed aggressive game allowed big physical contact happen,8,8.877453,2.4061577
well know dont think consciously thinking game time pick thing youre independent kid,7,8.030033,2.602238
world annika sorenstam recent winner u womens open also lady must good memory,7,5.800706,2.1220224
well start captain sue bird leading u go starting five way player bench well,5,7.7751,0.82607746
im sure theyre great pat pod captain last year got know pretty well yeah theyre great,7,9.4528055,2.209356
dont know bit struggle think whats identified struggle explosive display compared team done past,8,7.8379173,2.5696228
yes missed first half conversation whether he coming back he share probably anybody,8,7.6050563,1.7525514
today went net lot felt good going player going come working much better,1,7.712131,0.9461653
know weather really good golf course really good condition right everybody know everybody play well starting weekend right,6,6.7180862,3.5103574
think sizewise compare nebraska close enough center size way tackle would physical quickness center id say probably compare nebraska,7,9.921029,1.832679
lopez yeah ive faced plenty time yeah indian year devil ray he pitcher come right looking get right away,7,6.532098,3.5538778
really good team lot good thing going trying build team energy spent obviously different offseason u,5,10.231436,2.2809603
well there uncertainty mind lebron james took job didnt anthony davis didnt whole team different team fact,7,10.253134,2.0095472
think work paying good last year didnt win playing good,2,8.41762,2.7584429
there doubt there lot time going data watching game there much footage day cant really hide,1,8.0621605,2.113887
yeah sure making doublefaults easy volley mistake mean always little bit nervous getting close yeah definitely,2,6.627779,2.2345846
look know great fielding unit normally one game somewhere along line im happy gone know team going better next time,4,9.593539,2.0374916
yadi hit anywhere hit second u third fourth fifth hit anywhere yadi approach he going productive,2,4.9839196,3.8642783
im living dream know big opportunity big year im going best every outing enjoy time,5,8.993666,1.9400526
feel really good thinking like dont want discredit round played couple bad hole towards end day,5,6.1637473,2.8375256
thought disciplined werent trying much think weve gone back watch defended past thought looked like undisciplined poorcoached team,8,9.911209,1.6202857
mean definitely high percentage day like said im making progress day im well see well see,6,8.418208,4.1991706
think game finally coming together im really comfortable swing pxg equipment working fantastic,2,7.8770814,4.013654
yeah definitely help get see bullpen way know long series like know youre going face face,4,8.982318,0.934458
yeah talked little bit houston lot guy ive played weve gone couple level able play somebody else great,4,7.3152037,0.3094584
started first hole hit sand wedge foot got range hit iron two foot,2,5.2490263,3.5306742
trying win today game ill empty tank there certainly couple guy im going use greinke cole trying win today game,5,8.761752,3.4665375
know board feel like laughter little bit confused sixonfive youre trying find spot stand tired parked front,1,5.792487,1.5492777
talk matt saying lacrosse iq fall last year freshman fall,7,9.278917,3.734519
every offseason go baseball operation policy sign stealing big focus offseason last year expect year well,7,9.960007,2.7579386
yeah he clubhouse he going get treatment he going everything try get ready,3,6.9520593,0.7042917
played sampras wimbledon year big match didnt play bad played guy,4,6.9394035,1.2060999
amazing see hockey town theyve u ups down theyre excited something new special theyre big part big piece,7,9.085084,2.1374912
think heard erik say previous interview would probably even wreck certainly dont need wreck saw today probably,8,7.4982157,2.4986355
think everybody excited game enjoyed experience going ready play,5,6.379739,0.35818624
think youre always looking pitching dont know ever enough dont know well see whats see whatever like say dont think ever enough starting pitcher,8,8.029789,2.6883388
little different old stadium got jagged edge around outfield going take time,5,5.2916336,1.9916898
probably going see u two stance little league clinic probably two worst guy would want kid going hitting like laughter,7,6.8453608,2.3277583
yeah mean course want win every game think think youre going sweep every team game left think youre maybe fantasy world,5,8.335514,3.001734
would great u great team great he locked laser like focus going ballgame practicing well preparing really well going let get beat game,2,9.540006,2.2571669
yes definitely got lot congratulation mike whan example texted right third round last week felt really special,7,6.1098485,2.5420036
working like short game bunker play putting well putting obviously paying short game much far change week,1,7.953237,3.8579254
ive texting weve trying call missing he hunting ohio somewhere else,7,8.982962,3.9597445
actually got wild card received invitation play doral kind home player live hour north doral,6,8.516799,0.32455254
threehour training camp practice yesterday laughing prep normal prep game guy ready,6,7.8470273,-0.014766404
ever played tournament location beautiful decided come back vacation lake oconee going one new vacation spot,7,7.021031,1.4313266
maybe chip think play team play division much probably best seen think using ray positive negative go play,5,6.534013,0.20222174
back saw locker room back probably coming serve,3,7.3925743,2.3074315
far away player lady european tour gwladys nocera youve three time youre obviously got fairly confident coming,2,7.8838644,0.9868973
yeah worst enemy sometimes turnover tonight really hurt u badly unforced turnover good position theyre fine basketball team cant make kind blunder,4,10.049212,2.3217564
well know youre cooking paying school youre living high hog guess could say,7,7.9621778,2.8864393
mean lot lucky theyve u year look feel comfort follow footstep know youre walking right direction,5,8.615426,1.4512868
yeah pushing hustling car driving hard could trying enjoy really enjoyed race condition love driving full race favorite part weekend,4,5.991915,4.5423326
one sand wedge one fat baby degree lobwedge usually use one mostly around green heavy stuff came little strong,4,5.422725,3.383449
thought play best know possibility win wasnt big surprise,4,8.629122,1.2361617
guy great job dont think height key thing think weve got make play,2,6.583308,0.05957679
meeting probably get longer wont get leave get bored definitely lose entertainment value sure,7,7.3979697,3.3166134
part tactic bowling according stump stump stump thats field employ hit length line yeah wasnt working u today,1,7.023626,2.8226697
ive got bunch family town ill probably home entertain family ive got town,7,6.939466,5.036452
thing last week evian guess thats call experience hopefully get one day wont stressed front girl,4,7.0424447,2.5425003
tough today true somewhere beat masur ranking less mine beat courier everybody wait winning difficult today,4,8.44213,1.2654835
dont know hope working french federation think coach happy,7,7.7528553,3.5797257
think biggest thing went trying much fun youll sit back review youre get play game people love,5,9.014878,2.8143225
opinion really doesnt matter dont normally give say say im going give opinion,7,8.116343,4.632501
think brought u together kind similar game like turn dangerous,5,6.9428034,3.7526197
nice nice need get better everyone want better dont think enough power dont think right people change,4,6.900331,1.1026977
well thought hole played wind hole better think control ball wherever landed going stay,3,5.7060213,2.8039641
today made mistake fielding dropped catch thats difference team england team,4,10.205958,1.9174393
im concerned dont really look around stadium see who watching many people try keep focused question exactly,2,7.926014,1.9616026
im great shape bounce back extremely well game could play right play right high level,2,6.516048,3.348195
yeah mean help lot look side see people know give strength make feel good,5,8.544397,1.506671
mean playing baseline finishing point winner volley something point longer today take lot mental concentration,1,4.9981346,1.5770388
never like every week felt like could win practice good,4,6.357183,2.1799219
yes birdie hit wood tee hit iron foot hole made birdie,4,5.2980766,3.5975592
well remember hitting spring training would expect looking fastball first atbat,2,8.169851,-0.3180472
alicone ph birthday today yesterday joking youre waiting good round tomorrow birthday im glad he coach long time,7,6.06305,3.4526374
yeah think give negative mojo team think many goal youre instead take like said earlier playbyplay think thats got u hole,5,9.791121,1.6159594
something done something right time situationally talking player whether player someone potentially come play,2,8.328384,0.34120902
work everything three year new coach every day like magician work piano work work would,1,7.0424066,4.1607428
think expect know he goalscorer score lot goal every year there lot game think needed come,2,8.75674,1.2373475
course yeah beat becker grand slam great nothing compare sure,4,9.3538,1.793795
dont think effect player well cant go saying play different going play way,1,6.597569,0.16130131
yeah game management youre expecting im going go confidence confidence kenley,5,8.123207,2.5273516
yeah happy happy bunker usually like bunker lot kind went,4,7.703324,3.7598298
yeah youre going see team uncharacteristic thing know season line theyll give everything theyve got patient ready respond whatever throw u,5,8.419402,2.2821538
think great player really put lot game court court hope still around quite year least,2,7.702645,1.697281
two foot wide first point served huge point pissed got,4,4.95339,1.5957527
well best played tendency bad luck,2,5.526681,1.5503706
sure pretty good familiarity national league west manager giant also coming play national league west manager phillies,7,7.5005035,3.5246847
yeah stopped bleeding last night came played well today want keep rolling,2,7.3636813,2.4538872
yes work gave medication good enough,3,7.2854333,2.0053787
knew ohio state going come aggressive second half like normally wanted continue aggressive part,1,8.509177,1.5159076
best way describe kind golf suit game like instance u open fared okay never great finish,2,6.571619,3.4747055
better period thought good front couple bad breakdown didnt capitalize thought solid term overall play team defense,4,10.077158,1.5951241
twice played tuesday pro got played friday saturday,7,7.5846167,1.3969738
theyve got qualify make every thats going happen seems happening ryder cup,8,5.6993084,1.8211904
golf course beautiful ive never area really pleasant surprise cool seeing boat people actually allowed see u guess boat,7,6.5308733,3.9723294
try worry try go job play,5,6.8317533,0.70572174
think weve come long way really course decade think league bigger better stronger place start product ice,7,8.099561,-0.010447769
could im big room service guy like go eat houston got pretty good restaurant like,7,6.575267,1.8590171
think hardcourt mean even though first slam clay think hardcourt best result,2,6.74622,0.49905863
share ive fan player long time share philadelphia thought kevin quite bit fan im still fan today,7,8.14037,0.7682024
mean im everything feel better happened know well see mean dont timetable yet,6,8.274583,3.4614744
ive always guy kind let game talking guy get talking well ive always tried let game talking,8,7.7002344,0.29952717
asked wildcard three four week ago maybe decided play new schenectady asked wildcards three,8,6.904843,1.259823
got fast start two birdie first two hole would like talk,4,6.028632,2.676291
kind enjoyed didnt enjoy fourth set enjoy enjoyed match enjoyed first three set id like go fourth set,4,5.3186717,1.2204976
outside case pack us know thats part recommendation better develop tracking mechanism way,7,8.916266,0.81624603
yeah think start play nervous didnt play good today think great job tournament hope next year going win tournament,4,6.7258215,0.9756
echo everything look far ahead get lost even taking one point time looking far ahead past focused,5,9.202642,3.6503572
absolutely thats call perfect pitch right pitcher pitch able lay thought little havent seen replay pitch,4,7.9305754,4.959171
yeah probably deeper bench there question think give advantage national league club,2,7.3122334,3.2760627
position position would probably continue dont know,8,7.69823,2.5760434
yeah mean thats know doesnt seem like time thats want court team aggressive take shot,2,9.706869,1.3573592
talked right guy season long offense come go slump theyre clicking cylinder pretty special watch,2,7.30828,0.24820516
dont know team sentiment havent really discussed much worried winning baseball game,5,8.247085,2.1220388
yeah think team pretty consistent throughout match like hue said florida good team people consistent one set towards one team one set towards,4,10.303671,1.7623436
yes he many event ive done puerto rico helped support academy puerto rico he good friend,7,6.7414484,4.360233
couple time forced wood couple time good move wanted hit driver shes like cant,1,5.639805,3.5259686
yeah actually game game chicago went cleveland next two,4,8.297126,3.5703316
he good he swinging dont think he hit live yet he hit tee say feel good everything healthy,3,5.1057944,3.8062978
dont even know maybe bob hope thats course thin air well sea level dont know,7,7.2207694,2.3676891
time know right away dramatic win feel like top world lose feel like right,4,6.240451,2.9248421
basically summed everything amazing three year denver took one cant thank enough,5,9.3628645,3.2725844
pretty nice number middle kill eight block got three ace got service thats pretty nice night,2,6.3817883,1.4170693
probably first playoff he young guy didnt know expect he grown game,2,8.94679,1.4348184
well threebatter minimum little cloudy im waiting get clarification,8,6.1531053,3.5985532
wanted come knew back nine would hard play harder really wanted make good start got birdie,4,6.059028,0.71644753
thats yet determined dont know played much baseball going find much,2,8.325684,1.66704
idea mean said went umpire chair idea injured,3,8.129478,4.288379
cricket crazy nation yeah people expecting u win going also win actually,5,8.724516,3.3367038
trying get better weve fortunate get round last couple year thats kind stopping point u eye ahead trying assert amongst next group,6,9.102014,3.9015791
tough think different game especially playoff think weve done good job group taking game putting behind u need focusing next one,5,8.489936,2.7844143
really excited pittsburgh weve enjoyed time since monday really cool able take look city,7,6.793499,4.921207
yeah dont know came first year shooting think day important player period age specifically well best get,2,8.316011,1.0683119
dont know played okay good didnt lot chance always behind dont know think played much better first two set,2,8.016471,1.6641854
little bit yeah think there two different situation one two out one one one today trying get ball air drive run,4,5.098811,2.9842606
im blessed im blessed im grateful end day thats good im trying compete something bigger,5,8.53891,4.545046
think theyre excited think part excitement hear thing going adjusted different main part job following,5,6.6624475,0.10445764
think meeting pretty similar always end obvious thing right,1,6.8208337,3.7250452
yeah inning started well javeria played well partnership im trying best tried hit ball get maximum score,2,4.742276,3.6989207
sevi another guy really improved defense course year always catch first throw bat second guy swung bat well u especially lefthanded pitching,2,7.3348274,0.17400865
well hard tell mean keep playing well maybe never know,2,7.810677,3.3394594
sure oh yeah let give example bring thomas hardy pitch seventh inning,1,7.9595,5.055429
ive got friend parent driving tonight brother life dc far away,7,6.54411,4.6764827
absolutely absolutely little thing turned big thing turned giant thing,8,9.173417,2.986759
dont lose pretty simple stuff like ball hand control destiny tomorrow,5,4.7430167,3.1331916
dont really know know going head played good game break know didnt convert hard say happened really,4,8.167893,2.243666
took time yesterday kind get away little bit reconvened today met watched film went stuff practiced got work ready tomorrow,6,5.3254595,2.1695044
yeah kind felt like know crowd know good feeling know crowd supporting,7,8.055109,0.8316341
agree think great recognition teammate obviously dont get first team allamerican unless youve got pretty quality people around yeah agree,2,8.507538,1.8133136
big three people living one two people two room single big box im standing right,7,8.77554,1.8828133
think good job keeping mix he type guy yeah he around come skate hang guy,5,7.2132955,-0.11855604
karrie webb come tournament last week evian good form considering shes twice year,2,6.947154,1.709204
absolutely exceeded expectation get weather hospitality hillsborough county tampa people outback bowl people awesome,7,8.454007,1.9225404
talk cocktail chuckle lot conversation threebatters weve got lot manager still trying figure going work,1,6.524482,2.3274374
ask mean mean hanging home play tennis one day golf day maybe take care family,7,8.320453,3.7563934
think future bright organization know jeff planning good two three year planning team great long time,5,9.689875,2.3143537
thats live need get pregame routine right thats im mentally go,5,9.812757,1.0146477
sleeping also taking lot shower sweating walking street sweat taking shower eat spaghetti go bed,7,8.965412,2.6335304
think going easier year know player much know im familiar lot guy,5,8.733112,1.0541912
dont think wasnt happy game today dont know didnt anything better,2,8.065634,2.793917
read brad gilbert book know everything need read book know everything,7,6.473644,4.464685
congratulation marcus yordan thank coming yasmani grandal xander kirby thank another round applause allmlb team presented bu scott,7,9.5163765,3.051096
think going come tomorrow try apply pressure play best baseball apply pressure,6,7.1450553,0.64293176
yeah extent didnt know extent yeah trying take precaution yes,7,7.003991,0.34818378
im going get dont know ill end thats training staff doctor involved,3,7.4089465,3.6280124
yeah actually think first one edge unfortunately lost review second one think lost review,4,8.83843,2.967957
dont know going able help u anything sitting eighth thats way go,1,9.16738,0.84092534
fan love pitcher get three hitter row think thats greatest thing world like answer,2,9.419735,2.6404984
national championship everything amazing experience really came today feel like played four quarter thats something really struggled playoff,4,7.2701254,2.4956925
use week current ranking pre british open apply new divisor believe michelle would ranked seventh,4,7.2263336,0.74748904
think everybody need little bit confidence cant go day day cash,2,7.654031,3.192153
he extremely smart move ball around change speed plus thats easy thats easy face,2,6.2689877,1.828806
great group guy played well flying good offense treat able,2,7.4522233,0.33496928
think help player knowing got chance play couple day know environment know field think definitely help lot,5,8.865724,0.8773972
thats inside joke tommy spoken lot much anybody ive spoken tommy well get everybody,7,6.633952,3.6962583
dont think ever major contention dont think weve ever final group last day,4,8.209991,2.8573925
dont deserve take money deserve take money help job,8,8.109976,1.185727
jenna gray setter stanford volleyball question wanted apologize time made fun year say thank incredible time thank much,7,9.352059,3.241277
great great city sure see real life know since playing small place new york two week great,7,9.380733,2.1348512
first hit idea whether going go go pretty special feeling ive never hit walkoff home run special experience,2,5.039154,3.843897
thats true im always afraid im going get shot somebody think im brad need sign back say im bart dont shoot,7,8.394915,4.596284
first time weve ever achieved year history obviously excluding time sole manufacturer,5,8.731707,2.1327267
